2026-03-12 16:45:43:  INFO  Accepting connections at http://localhost:3000
2026-03-12 16:47:21:  HTTP  12/3/2026 4:47:21 pm ::1 GET /
2026-03-12 16:47:21:  HTTP  12/3/2026 4:47:21 pm ::1 Returned 200 in 154 ms
2026-03-12 16:47:21:  HTTP  12/3/2026 4:47:21 pm ::1 GET /static/js/main.94038cca.js
2026-03-12 16:47:21:  HTTP  12/3/2026 4:47:21 pm ::1 Returned 200 in 18 ms
2026-03-12 16:47:21:  HTTP  12/3/2026 4:47:21 pm ::1 GET /static/css/main.f855e6bc.css
2026-03-12 16:47:21:  HTTP  12/3/2026 4:47:21 pm ::1 GET /manifest.json
2026-03-12 16:47:21:  HTTP  12/3/2026 4:47:21 pm ::1 Returned 200 in 5 ms
2026-03-12 16:47:21:  HTTP  12/3/2026 4:47:21 pm ::1 Returned 200 in 4 ms
2026-03-12 16:47:22:  HTTP  12/3/2026 4:47:22 pm ::1 GET /favicon.ico
2026-03-12 16:47:22:  HTTP  12/3/2026 4:47:22 pm ::1 Returned 200 in 6 ms
2026-03-12 16:47:22:  HTTP  12/3/2026 4:47:22 pm ::1 GET /logo192.png
2026-03-12 16:47:22:  HTTP  12/3/2026 4:47:22 pm ::1 Returned 200 in 4 ms
2026-03-12 16:49:34:  HTTP  12/3/2026 4:49:34 pm ::1 GET /
2026-03-12 16:49:34:  HTTP  12/3/2026 4:49:34 pm ::1 Returned 200 in 3 ms
2026-03-12 16:49:34:  HTTP  12/3/2026 4:49:34 pm ::1 GET /static/js/main.94038cca.js
2026-03-12 16:49:34:  HTTP  12/3/2026 4:49:34 pm ::1 GET /static/css/main.f855e6bc.css
2026-03-12 16:49:34:  HTTP  12/3/2026 4:49:34 pm ::1 Returned 200 in 4 ms
2026-03-12 16:49:34:  HTTP  12/3/2026 4:49:34 pm ::1 Returned 200 in 3 ms
2026-03-12 16:49:34:  HTTP  12/3/2026 4:49:34 pm ::1 GET /@vite/client
2026-03-12 16:49:34:  HTTP  12/3/2026 4:49:34 pm ::1 Returned 200 in 3 ms
2026-03-12 16:50:53:  HTTP  12/3/2026 4:50:53 pm ::1 GET /
2026-03-12 16:50:53:  HTTP  12/3/2026 4:50:53 pm ::1 Returned 304 in 4 ms
2026-03-12 16:50:53:  HTTP  12/3/2026 4:50:53 pm ::1 GET /static/js/main.94038cca.js
2026-03-12 16:50:53:  HTTP  12/3/2026 4:50:53 pm ::1 GET /static/css/main.f855e6bc.css
2026-03-12 16:50:53:  HTTP  12/3/2026 4:50:53 pm ::1 Returned 304 in 31 ms
2026-03-12 16:50:53:  HTTP  12/3/2026 4:50:53 pm ::1 Returned 304 in 28 ms
2026-03-12 16:50:54:  HTTP  12/3/2026 4:50:54 pm ::1 GET /@vite/client
2026-03-12 16:50:54:  HTTP  12/3/2026 4:50:54 pm ::1 Returned 304 in 1 ms
2026-03-12 17:06:46:  HTTP  12/3/2026 5:06:46 pm ::1 GET /
2026-03-12 17:06:46:  HTTP  12/3/2026 5:06:46 pm ::1 Returned 304 in 17 ms
2026-03-12 17:06:46:  HTTP  12/3/2026 5:06:46 pm ::1 GET /static/js/main.94038cca.js
2026-03-12 17:06:46:  HTTP  12/3/2026 5:06:46 pm ::1 GET /static/css/main.f855e6bc.css
2026-03-12 17:06:46:  HTTP  12/3/2026 5:06:46 pm ::1 Returned 304 in 3 ms
2026-03-12 17:06:46:  HTTP  12/3/2026 5:06:46 pm ::1 Returned 304 in 3 ms
2026-03-12 17:06:46:  HTTP  12/3/2026 5:06:46 pm ::1 GET /@vite/client
2026-03-12 17:06:46:  HTTP  12/3/2026 5:06:46 pm ::1 Returned 304 in 1 ms
